"species_latin","species","name","early ripens","late ripens","origin_year","City 1","County 1","State 1","country","uses"
"Malus domestica","Apple","Perry Russet","late September","October","early 1800s","New York",,,"United States","f"
"Malus domestica","Apple","Pewaukee","October","November",1870,"Pewaukee",,"WI","United States","s"
"Malus domestica","Apple","Phifer","August","September","1800s","Statesville",,"NC","United States",
"Malus domestica","Apple","Pilot","October","October",1830,,"Nelson County","VA","United States","fsp"
"Malus domestica","Apple","Pineapple","late September","late September","1900s",,,,"United States",
"Malus domestica","Apple","Pinky","August","October","end of Civil War",,"Cabarrus County","NC","United States",
"Malus domestica","Apple","Polly Eades","July","August",1884,"Robards",,"KY","United States",
"Malus domestica","Apple","Polly Sweet","late July","August",1915,"Canton",,"NC","United States",
"Malus domestica","Apple","Pomme Grise","August","September",1858,"Canada",,,"United States","f"
"Malus domestica","Apple","Porter","August","September",1800,"Sherburne",,"MA","United States","fp"
"Malus domestica","Apple","Potomac","late September","late September",1962,"Wallingford",,"KY","United States","s"
"Malus domestica","Apple","Potts","September","September",,"Brushy Mountains",,"NC","United States","y"
"Malus domestica","Apple","Pound","late August","September","1920s","Collinsville",,"AL","United States",
"Malus domestica","Apple","Primate","July","August",1900,"Blacksburg",,"VA","United States","f"
"Malus domestica","Apple","Prissy Gum","August","August","late 1700s","Vanderpool",,"VA","United States","p"
"Malus domestica","Apple","Pryor's Red","October","October",1775,,"Botetourt County","VA","United States","fs"
"Malus domestica","Apple","Pumpkin Sweet","August","August",1834,"Manchester",,"CT","United States","p"
"Malus domestica","Apple","Queen","September","September",,,,"KY","United States","f"
"Malus domestica","Apple","Rabun Bald","September","October",1890,"Clayton",,"GA","United States","f"
"Malus domestica","Apple","Rainbow","August","September",1898,,,"MO","United States",
"Malus domestica","Apple","Ralls Janet","October","October","1790s",,"Amherst County","VA","United States","fsy"
"Malus domestica","Apple","Rambo","September","October",1640,,,"DE","United States","f"
"Malus domestica","Apple","Rattle Core","July","July",1869,,,"NC","United States",
"Malus domestica","Apple","Rawley","September","September","early 1800s",,"Scott County","VA","United States",
"Malus domestica","Apple","Reasor Green","November","November",1887,,"Lee County","VA","United States","fs"
